time_s,time_end_s,rank,contributor,key,value,unit,fraction,cumulative_fraction,flags
2211.675295170676,,2,I-134,531340,726312001.3711281,R/h,0.08030780007876814,0.20231765971948457,0
2211.675295170676,,3,Rb-89,370890,717615391.1047567,R/h,0.07934622208292577,0.2816638818024103,0
2211.675295170676,,4,La-142,571420,475154352.3266772,R/h,0.05253747791744009,0.3342013597198504,0
2211.675295170676,,5,Mo-101,421010,433912105.94576544,R/h,0.04797735214379867,0.38217871186364905,0
2211.675295170676,,6,Te-134,521340,417536684.31033933,R/h,0.0461667334504262,0.42834544531407526,0
2211.675295170676,,7,Xe-138,541380,362492976.54085267,R/h,0.040080589932487365,0.4684260352465626,0
2211.675295170676,,8,Ba-141,561410,358760880.26072395,R/h,0.03966793470804734,0.50809396995461,0
2861.667902134696,,1,Cs-138,551380,1000127537.0539273,R/h,0.14530375548867358,0.14530375548867358,0
2861.667902134696,,2,I-134,531340,769432632.2896104,R/h,0.1117871940578191,0.2570909495464927,0
2861.667902134696,,3,La-142,571420,464600905.5966993,R/h,0.06749964768043282,0.3245905972269255,0
2861.667902134696,,4,Rb-89,370890,437739699.116951,R/h,0.0635971112199717,0.3881877084468972,0
2861.667902134696,,5,Te-134,521340,348881053.1707109,R/h,0.05068726274038636,0.4388749711872836,0
2861.667902134696,,6,Te-133m,521331,269415715.889587,R/h,0.0391421232353446,0.4780170944226282,0
2861.667902134696,,7,Mo-101,421010,259531565.366761,R/h,0.037706102190456094,0.5157231966130843,0
2861.667902134696,,8,Ba-141,561410,237853266.819479,R/h,0.03455656568153894,0.5502797622946233,0
3702.6878222085707,,1,Cs-138,551380,828619807.2065672,R/h,0.16068602256484635,0.16068602256484635,0
3702.6878222085707,,2,I-134,531340,783663451.7002476,R/h,0.15196808233158704,0.3126541048964334,0
3702.6878222085707,,3,La-142,571420,433109195.9590315,R/h,0.0839885716339944,0.39664267653042784,0
3702.6878222085707,,4,Te-134,521340,276523167.0613812,R/h,0.053623395766897286,0.4502660722973251,0
